#Sector  Superlayer  Slot  Cable  T0Correction  T0Error
2  3  1  1  150.000  0.206
2  3  1  2  150.000  0.206
2  3  1  3  150.000  0.206
2  3  1  4  150.000  0.206
2  3  1  5  150.000  0.206
2  3  1  6  150.000  0.206
2  3  2  1  150.000  0.206
2  3  2  2  150.000  0.206
2  3  2  3  150.000  0.206
2  3  2  4  150.000  0.206
2  3  2  5  150.000  0.206
2  3  2  6  150.000  0.206
2  3  3  1  150.000  0.206
2  3  3  2  150.000  0.206
2  3  3  3  150.000  0.206
2  3  3  4  150.000  0.206
2  3  3  5  150.000  0.206
2  3  3  6  150.000  0.206
2  3  4  1  150.000  0.206
2  3  4  2  150.000  0.206
2  3  4  3  150.000  0.206
2  3  4  4  150.000  0.206
2  3  4  5  150.000  0.206
2  3  4  6  150.000  0.206
2  3  5  1  150.000  0.206
2  3  5  2  150.000  0.206
2  3  5  3  150.000  0.206
2  3  5  4  150.000  0.206
2  3  5  5  150.000  0.206
2  3  5  6  150.000  0.206
2  3  6  1  150.000  0.206
2  3  6  2  150.000  0.206
2  3  6  3  150.000  0.206
2  3  6  4  150.000  0.206
2  3  6  5  150.000  0.206
2  3  6  6  150.000  0.206
2  3  7  1  150.000  0.206
2  3  7  2  150.000  0.206
2  3  7  3  150.000  0.206
2  3  7  4  150.000  0.206
2  3  7  5  150.000  0.206
2  3  7  6  150.000  0.206
