Sec  SL  Slot  Cable  T0(BkgIntersect) T0err T0N p0  p1  p2  p3  p4(Bkg) xSigmHalf Err(p0  p1  p2  p3  p4)
2 1 1 1 503.508 51859.654 503.507 7.625 -0.0204 52.853 -0.0982 5.296 538.339 1.522 31.088 4298.930 12.169 0.141
2 1 1 2 514.223 66.813 514.222 8.169 -0.0221 53.763 -0.0974 7.188 551.864 2.059 0.035 0.635 0.002 0.007
2 1 1 3 497.584 42659.742 497.583 7.853 -0.0211 52.872 -0.0993 7.545 532.604 1.757 25.417 3354.545 9.186 0.171
2 1 1 4 478.985 4561.876 478.984 8.092 -0.0223 52.436 -0.1021 7.344 513.789 1.635 2.766 102.511 0.275 0.069
2 1 1 5 489.335 4422.999 489.334 6.743 -0.0173 51.870 -0.0997 9.067 520.027 1.253 3.235 228.969 0.602 0.106
2 1 1 6 533.664 376.996 533.663 6.771 -0.0126 52.608 -0.0934 9.076 562.996 1.563 0.287 4.257 0.013 0.023
2 1 2 1 505.868 3871.099 505.867 6.533 -0.0142 52.068 -0.0974 8.693 534.840 1.297 3.045 158.810 0.418 0.089
2 1 2 2 540.095 138905.619 540.094 6.719 -0.0172 53.689 -0.0936 8.723 573.871 1.794 85.965 18524.780 50.526 0.201
2 1 2 3 522.992 2751.132 522.992 7.760 -0.0094 51.241 -0.0932 10.329 549.899 1.456 2.363 126.586 0.339 0.152
2 1 2 4 594.774 20628.941 594.774 8.031 -0.0087 50.946 -0.0814 9.734 625.999 1.703 13.938 691.402 1.905 0.134
2 1 2 5 536.177 30932.050 536.177 6.719 -0.0129 52.907 -0.0935 9.585 565.676 2.042 23.324 2507.296 6.760 0.187
2 1 2 6 575.467 682.721 575.466 8.064 -0.0089 52.105 -0.0862 11.958 604.691 1.532 0.510 9.058 0.024 0.031
2 1 3 1 590.830 40671.745 590.830 7.771 -0.0094 51.850 -0.0834 11.362 621.797 1.719 27.851 1445.876 3.888 0.164
2 1 3 2 573.884 14237.765 573.884 7.978 -0.0091 52.888 -0.0878 11.051 602.630 1.898 10.873 557.662 1.504 0.147
2 1 3 3 590.399 7648.726 590.399 8.051 -0.0092 50.546 -0.0812 12.917 622.223 1.485 5.044 138.498 0.373 0.076
2 1 3 4 913.399 4238.503 913.398 8.420 -0.0081 56.627 -0.0590 13.453 960.134 2.054 1.414 0.071 1.414 0.299
2 1 3 5 669.384 44074.192 669.384 8.473 -0.0076 45.135 -0.0635 12.821 710.856 1.340 18.921 709.307 1.948 0.154
2 1 3 6 606.426 4046.874 606.426 8.454 -0.0084 51.335 -0.0805 14.768 637.780 1.522 2.703 986.876 2.703 0.314
2 1 4 1 575.415 28471.662 575.415 7.927 -0.0094 50.794 -0.0838 14.434 606.214 1.718 19.802 778.679 2.169 0.202
2 1 4 2 607.738 30372.733 607.738 8.124 -0.0090 49.359 -0.0769 15.344 641.673 1.751 18.124 877.706 2.378 0.156
2 1 4 3 1205.910 2442056.221 1205.909 8.804 -0.0072 45.920 -0.0353 15.949 1301.473 2.027 224.973 1.414 224.973 0.326
2 1 4 4 644.285 35757.599 644.285 8.475 -0.0086 45.470 -0.0664 16.964 684.886 1.436 15.999 734.067 1.991 0.180
2 1 4 5 580.241 4294.963 580.240 8.370 -0.0088 49.840 -0.0815 16.221 611.545 1.458 2.913 74.904 0.197 0.080
2 1 4 6 643.117 46152.279 643.117 8.330 -0.0083 46.994 -0.0690 14.711 681.282 1.822 22.769 868.859 2.478 0.142
2 1 5 1 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 1 5 2 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 1 5 3 574.933 8726.971 574.933 8.014 -0.0093 47.518 -0.0781 15.297 608.496 1.689 5.369 242.412 0.660 0.131
2 1 5 4 590.803 43005.740 590.802 7.903 -0.0092 49.687 -0.0797 15.242 623.417 1.477 27.384 1227.363 3.485 0.196
2 1 5 5 586.256 11515.664 586.255 7.825 -0.0092 49.165 -0.0794 13.495 619.073 1.819 7.283 844.593 0.614 0.087
2 1 5 6 615.565 16894.393 615.565 8.071 -0.0085 45.342 -0.0694 14.565 653.801 1.594 8.390 364.468 1.016 0.128
2 1 6 1 1433.207 13562.513 1433.206 8.653 -0.0077 57.754 -0.0379 16.673 1521.987 2.058 1.414 1.414 1.414 0.333
2 1 6 2 615.869 50137.906 615.868 8.057 -0.0090 47.548 -0.0729 17.136 652.294 1.361 26.832 991.698 2.679 0.218
2 1 6 3 581.486 9520.378 581.485 7.890 -0.0091 47.398 -0.0770 15.480 615.493 1.788 5.728 230.244 0.622 0.116
2 1 6 4 595.976 833.138 595.976 7.929 -0.0092 48.085 -0.0763 16.037 630.496 1.777 0.487 10.263 0.022 0.031
2 1 6 5 640.728 12106.914 640.728 7.965 -0.0088 49.842 -0.0737 14.136 676.445 1.763 6.610 2431.579 6.610 0.307
2 1 6 6 651.847 2692.842 651.847 7.963 -0.0089 49.877 -0.0725 14.161 688.401 1.350 1.414 0.500 0.001 0.307
2 1 7 1 600.700 3923.798 600.700 8.043 -0.0086 46.638 -0.0733 12.815 636.387 1.416 2.179 48.519 0.127 0.058
2 1 7 2 626.846 65439.653 626.846 7.972 -0.0089 49.960 -0.0755 9.317 661.430 1.338 37.675 1922.431 5.069 0.142
2 1 7 3 603.429 53017.908 603.429 7.731 -0.0095 48.377 -0.0757 8.887 638.708 1.814 29.922 1358.537 3.677 0.159
2 1 7 4 603.852 47872.001 603.852 7.955 -0.0089 51.872 -0.0817 6.272 635.209 1.936 32.009 1553.228 4.435 0.100
2 1 7 5 1082.448 1355774.172 1082.448 8.504 -0.0072 49.208 -0.0427 5.040 1153.332 2.061 217.988 1.414 217.988 0.183
2 1 7 6 573.978 11430.525 573.978 7.922 -0.0090 48.783 -0.0805 3.263 605.997 1.776 7.533 375.583 1.016 0.068
2 2 1 1 399.748 147122.340 427.515 6.587 -0.0392 59.854 -0.0850 3.861 704.322 1.514 1.414 1.414 1.414 0.161
2 2 1 2 488.474 495.572 488.473 8.296 -0.0229 53.162 -0.1014 5.902 524.516 1.294 0.283 4.977 0.013 0.018
2 2 1 3 561.243 36056.083 561.242 7.131 -0.0113 53.270 -0.0902 6.838 590.834 1.557 26.689 1788.096 4.810 0.132
2 2 1 4 566.667 362.313 566.667 7.647 -0.0098 52.762 -0.0886 8.784 595.634 1.571 0.275 4.814 0.013 0.021
2 2 1 5 539.988 3786.751 539.988 7.221 -0.0110 52.534 -0.0924 8.261 568.389 1.301 2.998 98.349 0.261 0.069
2 2 1 6 739.905 2962.013 739.904 7.274 -0.0109 57.680 -0.0741 7.738 778.058 1.620 1.414 0.259 0.001 0.227
2 2 2 1 554.313 5532.519 554.312 7.562 -0.0100 51.520 -0.0883 10.141 583.614 1.639 4.167 159.413 0.428 0.088
2 2 2 2 577.540 12979.877 577.539 6.605 -0.0136 54.033 -0.0886 10.126 610.091 1.302 8.340 3096.988 8.340 0.260
2 2 2 3 561.083 25862.539 561.083 7.495 -0.0105 52.266 -0.0885 11.521 590.750 1.828 19.080 1077.088 2.983 0.155
2 2 2 4 617.716 7647.502 617.716 8.268 -0.0085 49.206 -0.0755 12.827 651.889 1.441 4.498 116.353 0.316 0.073
2 2 2 5 564.496 2207.409 564.495 7.954 -0.0095 51.864 -0.0873 12.612 593.766 1.771 1.655 36.494 0.097 0.058
2 2 2 6 508.902 173.370 508.900 8.842 -0.0249 47.440 -0.0835 12.567 568.362 1.411 0.041 15.570 0.042 0.289
2 2 3 1 555.793 2954.975 555.793 7.520 -0.0106 52.333 -0.0894 13.298 585.062 1.266 2.227 49.987 0.131 0.059
2 2 3 2 815.985 3531.093 815.984 8.243 -0.0088 55.851 -0.0651 13.906 858.196 2.025 1.414 0.078 1.414 0.304
2 2 3 3 630.727 35936.819 630.727 8.402 -0.0084 48.068 -0.0721 14.999 666.904 2.131 19.323 444.441 1.203 0.181
2 2 3 4 607.130 29299.430 607.129 7.926 -0.0092 50.227 -0.0784 12.746 640.440 1.662 17.965 814.820 2.270 0.122
2 2 3 5 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 2 3 6 112.704 744.528 112.704 9.000 -0.0094 15.689 -0.1181 10.000 132.842 1.779 1.414 1.414 1.414 1.414
2 2 4 1 531.095 6559.264 531.094 7.448 -0.0104 50.089 -0.0894 7.824 560.252 1.598 5.040 244.758 0.676 0.097
2 2 4 2 634.688 69292.502 634.688 8.031 -0.0087 48.439 -0.0722 9.272 671.175 2.008 36.727 1797.052 4.840 0.141
2 2 4 3 1097.029 3182503.906 1097.028 8.332 -0.0078 54.563 -0.0470 10.489 1160.621 2.042 618.417 1.414 618.417 0.264
2 2 4 4 580.375 12845.107 580.375 8.182 -0.0093 49.220 -0.0803 16.907 612.748 1.556 8.308 359.528 1.008 0.144
2 2 4 5 668.448 140.048 668.448 8.679 -0.0082 47.080 -0.0665 17.981 708.365 2.055 0.064 25.631 0.064 0.346
2 2 4 6 -664.724 865.434  NaN 8.643 -0.0037 89.865 0.1323 17.028 679.040 1.305 1.414 1.414 1.414 0.337
2 2 5 1 535.244 5618.091 535.243 7.842 -0.0095 49.616 -0.0879 14.748 564.271 1.570 4.333 231.265 0.625 0.162
2 2 5 2 6911.354 10756081.442 -Infinity 8.543 -0.0076 62.399 -0.0145 15.236 4303.477 2.062 1.414 1.414 1.414 0.319
2 2 5 3 586.208 10661.265 586.207 8.000 -0.0089 47.555 -0.0767 14.409 620.177 1.953 6.412 260.404 0.722 0.116
